wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run j6aof2hs
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_071056-j6aof2hs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.3_pruning_ratio_0.1_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/j6aof2hs
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.3
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.3 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.244, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:22,  2.65s/it, acc=0.244, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:22,  2.65s/it, acc=0.244, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:22,  2.65s/it, acc=0.384, lr=0.0002, test_acc=0.27] 
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:55,  2.41s/it, acc=0.384, lr=0.0002, test_acc=0.27]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:55,  2.41s/it, acc=0.384, lr=0.0002, test_acc=0.27]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:55,  2.41s/it, acc=0.519, lr=0.0003, test_acc=0.353]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:45,  2.32s/it, acc=0.519, lr=0.0003, test_acc=0.353]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:45,  2.32s/it, acc=0.519, lr=0.0003, test_acc=0.353]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:45,  2.32s/it, acc=0.677, lr=0.0004, test_acc=0.377]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:39,  2.29s/it, acc=0.677, lr=0.0004, test_acc=0.377]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:39,  2.29s/it, acc=0.677, lr=0.0004, test_acc=0.377]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:39,  2.29s/it, acc=0.728, lr=0.0005, test_acc=0.294]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.728, lr=0.0005, test_acc=0.294]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.728, lr=0.0005, test_acc=0.294]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<03:37,  2.29s/it, acc=0.79, lr=0.0006, test_acc=0.397] 
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:13<03:33,  2.27s/it, acc=0.79, lr=0.0006, test_acc=0.397]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:13<03:33,  2.27s/it, acc=0.79, lr=0.0006, test_acc=0.397]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:33,  2.27s/it, acc=0.827, lr=0.0007, test_acc=0.328]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:30,  2.26s/it, acc=0.827, lr=0.0007, test_acc=0.328]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:30,  2.26s/it, acc=0.827, lr=0.0007, test_acc=0.328]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:30,  2.26s/it, acc=0.856, lr=0.0008, test_acc=0.411]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:27,  2.25s/it, acc=0.856, lr=0.0008, test_acc=0.411]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:27,  2.25s/it, acc=0.856, lr=0.0008, test_acc=0.411]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:27,  2.25s/it, acc=0.835, lr=0.0009, test_acc=0.347]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.835, lr=0.0009, test_acc=0.347]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.835, lr=0.0009, test_acc=0.347]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:26,  2.27s/it, acc=0.813, lr=0.001, test_acc=0.227] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:22<03:23,  2.26s/it, acc=0.813, lr=0.001, test_acc=0.227]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:22<03:23,  2.26s/it, acc=0.813, lr=0.001, test_acc=0.227]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:23,  2.26s/it, acc=0.861, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:20,  2.25s/it, acc=0.861, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:20,  2.25s/it, acc=0.861, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:58<02:47,  2.26s/it, acc=0.958, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:01<02:47,  2.26s/it, acc=0.957, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:01<02:44,  2.26s/it, acc=0.957, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:01<02:44,  2.26s/it, acc=0.957, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:03<02:44,  2.26s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:03<02:41,  2.25s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:03<02:41,  2.25s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:05<02:41,  2.25s/it, acc=0.97, lr=0.001, test_acc=0.46]  
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:05<02:39,  2.24s/it, acc=0.97, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:05<02:39,  2.24s/it, acc=0.97, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:07<02:39,  2.24s/it, acc=0.974, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:07<02:37,  2.24s/it, acc=0.974, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:07<02:37,  2.24s/it, acc=0.974, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:10<02:37,  2.24s/it, acc=0.966, lr=0.001, test_acc=0.497]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:10<02:36,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.497]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:10<02:36,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.497]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:12<02:36,  2.26s/it, acc=0.968, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:12<02:33,  2.26s/it, acc=0.968, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:12<02:33,  2.26s/it, acc=0.968, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:14<02:33,  2.26s/it, acc=0.975, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:14<02:30,  2.25s/it, acc=0.975, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:14<02:30,  2.25s/it, acc=0.975, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:16<02:30,  2.25s/it, acc=0.974, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [01:16<02:28,  2.25s/it, acc=0.974, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:16<02:28,  2.25s/it, acc=0.974, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:19<02:28,  2.25s/it, acc=0.969, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [01:19<02:27,  2.27s/it, acc=0.969, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:19<02:27,  2.27s/it, acc=0.969, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:21<02:27,  2.27s/it, acc=0.971, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [01:21<02:24,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:21<02:24,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:23<02:24,  2.26s/it, acc=0.978, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 36:  37%|███▋      | 37/100 [01:23<02:21,  2.25s/it, acc=0.978, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:23<02:21,  2.25s/it, acc=0.978, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:25<02:21,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 37:  38%|███▊      | 38/100 [01:25<02:19,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [01:25<02:19,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [01:28<02:19,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.491]
Iter 0 | Epoch 38:  39%|███▉      | 39/100 [01:28<02:18,  2.26s/it, acc=0.981, lr=0.001, test_acc=0.491]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [01:28<02:18,  2.26s/it, acc=0.981, lr=0.001, test_acc=0.491]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [01:30<02:18,  2.26s/it, acc=0.972, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 39:  40%|████      | 40/100 [01:30<02:15,  2.26s/it, acc=0.972, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 40:  40%|████      | 40/100 [01:30<02:15,  2.26s/it, acc=0.972, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 40:  40%|████      | 40/100 [01:32<02:15,  2.26s/it, acc=0.978, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 40:  41%|████      | 41/100 [01:32<02:12,  2.25s/it, acc=0.978, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 41:  41%|████      | 41/100 [01:32<02:12,  2.25s/it, acc=0.978, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 41:  41%|████      | 41/100 [01:34<02:12,  2.25s/it, acc=0.982, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 41:  42%|████▏     | 42/100 [01:34<02:10,  2.25s/it, acc=0.982, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [01:34<02:10,  2.25s/it, acc=0.982, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 42:  42%|████▏     | 42/100 [01:37<02:10,  2.25s/it, acc=0.978, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 42:  43%|████▎     | 43/100 [01:37<02:09,  2.26s/it, acc=0.978, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [01:37<02:09,  2.26s/it, acc=0.978, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 43:  43%|████▎     | 43/100 [01:39<02:09,  2.26s/it, acc=0.98, lr=0.001, test_acc=0.488] 
Iter 0 | Epoch 43:  44%|████▍     | 44/100 [01:39<02:06,  2.26s/it, acc=0.98, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [01:39<02:06,  2.26s/it, acc=0.98, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 44:  44%|████▍     | 44/100 [01:41<02:06,  2.26s/it, acc=0.976, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 44:  45%|████▌     | 45/100 [01:41<02:03,  2.25s/it, acc=0.976, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [01:41<02:03,  2.25s/it, acc=0.976, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 45:  45%|████▌     | 45/100 [01:44<02:03,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.517]
Iter 0 | Epoch 45:  46%|████▌     | 46/100 [01:44<02:01,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.517]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [01:44<02:01,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.517]
Iter 0 | Epoch 46:  46%|████▌     | 46/100 [01:46<02:01,  2.25s/it, acc=0.981, lr=0.001, test_acc=0.495]
Iter 0 | Epoch 46:  47%|████▋     | 47/100 [01:46<01:58,  2.24s/it, acc=0.981, lr=0.001, test_acc=0.495]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [01:46<01:58,  2.24s/it, acc=0.981, lr=0.001, test_acc=0.495]
Iter 0 | Epoch 47:  47%|████▋     | 47/100 [01:48<01:58,  2.24s/it, acc=0.984, lr=0.001, test_acc=0.495]
Iter 0 | Epoch 47:  48%|████▊     | 48/100 [01:48<01:57,  2.26s/it, acc=0.984, lr=0.001, test_acc=0.495]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [01:48<01:57,  2.26s/it, acc=0.984, lr=0.001, test_acc=0.495]
Iter 0 | Epoch 48:  48%|████▊     | 48/100 [01:50<01:57,  2.26s/it, acc=0.983, lr=0.001, test_acc=0.527]
Iter 0 | Epoch 48:  49%|████▉     | 49/100 [01:50<01:55,  2.26s/it, acc=0.983, lr=0.001, test_acc=0.527]
Iter 0 | Epoch 49:  49%|████▉     | 49/100 [01:50<01:55,  2.26s/it, acc=0.983, lr=0.001, test_acc=0.527]
Iter 0 | Epoch 49:  49%|████▉     | 49/100 [01:53<01:55,  2.26s/it, acc=0.982, lr=0.001, test_acc=0.482]
